conv_id,turno,fecha,hora,canal,texto_entrada,texto_salida,intencion_detectada,confianza_watson,sentimiento,csat_estimado,transaccion_realizada,resolucion,duracion_min,num_turnos_conv
CONV-0024,1,2024-11-12,08:17:00,App Móvil,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.81,positivo,4.4,Pago tarjeta de crédito,Resuelta,6,5
CONV-0024,2,2024-11-12,08:18:00,App Móvil,Quiero pagar el total,"El saldo total de tu tarjeta es $119,070.50 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.74,positivo,4.1,Pago tarjeta de crédito,Resuelta,6,5
CONV-0024,3,2024-11-12,08:23:00,App Móvil,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $7,847.43 MXN. Folio: BNR360578402. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.96,positivo,4.7,Pago tarjeta de crédito,Resuelta,6,5
CONV-0024,4,2024-11-12,08:20:00,App Móvil,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.97,positivo,4.3,Pago tarjeta de crédito,Resuelta,6,5
CONV-0024,5,2024-11-12,08:29:00,App Móvil,"No, gracias",¡Con gusto! Que tengas excelente día. Recuerda que puedes pagar también desde Banorte Móvil. ¡Hasta luego!,Pago tarjeta de crédito,0.96,positivo,4.5,Pago tarjeta de crédito,Resuelta,6,5
CONV-0025,1,2024-11-11,07:06:00,Web,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.76,positivo,4.9,Transferencia realizada,Resuelta,13,4
CONV-0025,2,2024-11-11,07:09:00,Web,"Quiero transferir $33,144 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.85,positivo,4.9,Transferencia realizada,Resuelta,13,4
CONV-0025,3,2024-11-11,07:08:00,Web,La CLABE es 253817933554864015,"Gracias. Confirma: transferencia de $19,253 MXN a CLABE 513711624112412723. ¿Es correcto?",Transferencia realizada,0.97,positivo,4.4,Transferencia realizada,Resuelta,13,4
CONV-0025,4,2024-11-11,07:12:00,Web,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR859279763. ¿Algo más?,Transferencia realizada,0.82,positivo,4.3,Transferencia realizada,Resuelta,13,4
CONV-0026,1,2024-12-08,09:07:00,App Móvil,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.8,positivo,4.6,Pago tarjeta de crédito,Resuelta,8,4
CONV-0026,2,2024-12-08,09:09:00,App Móvil,Quiero pagar el total,"El saldo total de tu tarjeta es $109,589.48 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.91,positivo,4.7,Pago tarjeta de crédito,Resuelta,8,4
CONV-0026,3,2024-12-08,09:09:00,App Móvil,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $67,853.24 MXN. Folio: BNR402170023. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.97,positivo,3.8,Pago tarjeta de crédito,Resuelta,8,4
CONV-0026,4,2024-12-08,09:10:00,App Móvil,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.75,positivo,4.0,Pago tarjeta de crédito,Resuelta,8,4
CONV-0027,1,2024-12-15,06:11:00,WhatsApp,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.83,positivo,3.8,Consulta de saldo,Resuelta,2,4
CONV-0027,2,2024-12-15,06:13:00,WhatsApp,"Sí, mis últimos 4 dígitos son 2140","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.98,positivo,3.9,Consulta de saldo,Resuelta,2,4
CONV-0027,3,2024-12-15,06:15:00,WhatsApp,Mi fecha de nacimiento es 05/05/1989,"Perfecto, verificando información... Tu saldo disponible es $113,269.99 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.89,positivo,4.3,Consulta de saldo,Resuelta,2,4
CONV-0027,4,2024-12-15,06:17:00,WhatsApp,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.98,positivo,4.5,Consulta de saldo,Resuelta,2,4
CONV-0028,1,2024-12-08,06:18:00,WhatsApp,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.94,positivo,5.0,Transferencia realizada,Resuelta,2,4
CONV-0028,2,2024-12-08,06:19:00,WhatsApp,"Quiero transferir $45,113 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.92,positivo,4.6,Transferencia realizada,Resuelta,2,4
CONV-0028,3,2024-12-08,06:24:00,WhatsApp,La CLABE es 490785158673425754,"Gracias. Confirma: transferencia de $46,015 MXN a CLABE 183760644134327560. ¿Es correcto?",Transferencia realizada,0.97,positivo,4.7,Transferencia realizada,Resuelta,2,4
CONV-0028,4,2024-12-08,06:24:00,WhatsApp,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR596524942. ¿Algo más?,Transferencia realizada,0.73,positivo,4.7,Transferencia realizada,Resuelta,2,4
CONV-0029,1,2024-10-20,02:23:00,Web,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.82,neutro,3.3,Consulta de estado de cuenta,Resuelta,11,5
CONV-0029,2,2024-10-20,02:25:00,Web,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.91,neutro,4.0,Consulta de estado de cuenta,Resuelta,11,5
CONV-0029,3,2024-10-20,02:25:00,Web,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es pedro32@gmail.com?,Consulta de estado de cuenta,0.83,neutro,3.4,Consulta de estado de cuenta,Resuelta,11,5
CONV-0029,4,2024-10-20,02:26:00,Web,"Sí, ese es mi correo",✅ Estado de cuenta enviado a carlos80@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.75,neutro,4.2,Consulta de estado de cuenta,Resuelta,11,5
CONV-0029,5,2024-10-20,02:31:00,Web,No gracias,¡Con mucho gusto! ¿Sabías que también puedes ver tu estado de cuenta en línea desde banorte.com? ¡Hasta luego!,Consulta de estado de cuenta,0.73,neutro,3.7,Consulta de estado de cuenta,Resuelta,11,5
CONV-0030,1,2024-12-23,07:27:00,Web,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.86,positivo,4.6,Pago tarjeta de crédito,Resuelta,3,4
CONV-0030,2,2024-12-23,07:30:00,Web,Quiero pagar el total,"El saldo total de tu tarjeta es $109,020.64 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.98,positivo,4.7,Pago tarjeta de crédito,Resuelta,3,4
CONV-0030,3,2024-12-23,07:29:00,Web,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $83,002.85 MXN. Folio: BNR191029915. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.84,positivo,4.8,Pago tarjeta de crédito,Resuelta,3,4
CONV-0030,4,2024-12-23,07:33:00,Web,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.82,positivo,4.6,Pago tarjeta de crédito,Resuelta,3,4
CONV-0031,1,2024-11-27,09:36:00,App Móvil,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.76,positivo,4.7,Consulta de saldo,Resuelta,9,4
CONV-0031,2,2024-11-27,09:39:00,App Móvil,"Sí, mis últimos 4 dígitos son 2945","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.84,positivo,4.1,Consulta de saldo,Resuelta,9,4
CONV-0031,3,2024-11-27,09:40:00,App Móvil,Mi fecha de nacimiento es 23/01/1988,"Perfecto, verificando información... Tu saldo disponible es $42,499.51 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.77,positivo,4.3,Consulta de saldo,Resuelta,9,4
CONV-0031,4,2024-11-27,09:45:00,App Móvil,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.98,positivo,4.7,Consulta de saldo,Resuelta,9,4
CONV-0032,1,2024-10-01,01:59:00,Teléfono,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.84,neutro,3.6,Consulta de estado de cuenta,Resuelta,6,4
CONV-0032,2,2024-10-01,02:00:00,Teléfono,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.73,neutro,3.7,Consulta de estado de cuenta,Resuelta,6,4
CONV-0032,3,2024-10-01,02:05:00,Teléfono,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es miguel18@gmail.com?,Consulta de estado de cuenta,0.87,neutro,3.5,Consulta de estado de cuenta,Resuelta,6,4
CONV-0032,4,2024-10-01,02:05:00,Teléfono,"Sí, ese es mi correo",✅ Estado de cuenta enviado a pedro57@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.9,neutro,4.1,Consulta de estado de cuenta,Resuelta,6,4
CONV-0033,1,2024-12-04,17:54:00,App Móvil,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.81,positivo,3.9,Consulta de saldo,Resuelta,8,4
CONV-0033,2,2024-12-04,17:57:00,App Móvil,"Sí, mis últimos 4 dígitos son 4211","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.86,positivo,3.9,Consulta de saldo,Resuelta,8,4
CONV-0033,3,2024-12-04,17:56:00,App Móvil,Mi fecha de nacimiento es 17/12/1985,"Perfecto, verificando información... Tu saldo disponible es $61,481.65 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.74,positivo,4.0,Consulta de saldo,Resuelta,8,4
CONV-0033,4,2024-12-04,17:57:00,App Móvil,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.88,positivo,4.2,Consulta de saldo,Resuelta,8,4
CONV-0034,1,2024-10-18,04:21:00,Teléfono,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.84,neutro,4.2,Consulta de estado de cuenta,Resuelta,8,4
CONV-0034,2,2024-10-18,04:23:00,Teléfono,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.84,neutro,3.9,Consulta de estado de cuenta,Resuelta,8,4
CONV-0034,3,2024-10-18,04:25:00,Teléfono,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es ana21@gmail.com?,Consulta de estado de cuenta,0.99,neutro,4.0,Consulta de estado de cuenta,Resuelta,8,4
CONV-0034,4,2024-10-18,04:27:00,Teléfono,"Sí, ese es mi correo",✅ Estado de cuenta enviado a jose52@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.96,neutro,4.1,Consulta de estado de cuenta,Resuelta,8,4
CONV-0035,1,2024-10-09,10:01:00,Teléfono,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.74,positivo,4.6,Transferencia realizada,Resuelta,8,5
CONV-0035,2,2024-10-09,10:04:00,Teléfono,"Quiero transferir $30,710 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.76,positivo,4.5,Transferencia realizada,Resuelta,8,5
CONV-0035,3,2024-10-09,10:03:00,Teléfono,La CLABE es 567491601692364587,"Gracias. Confirma: transferencia de $23,785 MXN a CLABE 024972439920116691. ¿Es correcto?",Transferencia realizada,0.79,positivo,4.0,Transferencia realizada,Resuelta,8,5
CONV-0035,4,2024-10-09,10:07:00,Teléfono,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR397171155. ¿Algo más?,Transferencia realizada,0.85,positivo,4.5,Transferencia realizada,Resuelta,8,5
CONV-0035,5,2024-10-09,10:13:00,Teléfono,"No, eso es todo",¡Perfecto! Tu operación fue completada. Recibirás una notificación de confirmación. ¡Hasta luego!,Transferencia realizada,0.85,positivo,4.8,Transferencia realizada,Resuelta,8,5
CONV-0036,1,2024-11-14,13:59:00,Teléfono,Qué promociones tienen para el Buen Fin,"¡Hola! 🎉 Tenemos excelentes promociones para el Buen Fin. ¿Te interesa conocer meses sin intereses, cashback o descuentos en tiendas específicas?",Información de promociones Buen Fin,0.92,positivo,5.0,Información de promociones Buen Fin,Resuelta,12,4
CONV-0036,2,2024-11-14,14:00:00,Teléfono,Meses sin intereses,"¡Perfecto! Con tu tarjeta Banorte tienes hasta 18 MSI en tiendas participantes como Liverpool, Palacio de Hierro, Coppel y más de 500 establecimientos.",Información de promociones Buen Fin,0.95,positivo,4.9,Información de promociones Buen Fin,Resuelta,12,4
CONV-0036,3,2024-11-14,14:01:00,Teléfono,¿Aplica en Amazon?,"Sí, Amazon participa con hasta 12 MSI en compras mayores a $500 MXN. ¿Te gustaría ver el catálogo completo de participantes?",Información de promociones Buen Fin,0.79,positivo,5.0,Información de promociones Buen Fin,Resuelta,12,4
CONV-0036,4,2024-11-14,14:02:00,Teléfono,Sí por favor,Aquí tienes el enlace: banorte.com/buenfin2024 📱 También puedes activar notificaciones en la app para no perderte ninguna oferta. ¿Algo más?,Información de promociones Buen Fin,0.72,positivo,4.4,Información de promociones Buen Fin,Resuelta,12,4
CONV-0037,1,2024-10-16,01:08:00,Web,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.74,positivo,3.9,Pago tarjeta de crédito,Resuelta,12,5
CONV-0037,2,2024-10-16,01:11:00,Web,Quiero pagar el total,"El saldo total de tu tarjeta es $14,262.15 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.96,positivo,4.1,Pago tarjeta de crédito,Resuelta,12,5
CONV-0037,3,2024-10-16,01:12:00,Web,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $10,552.93 MXN. Folio: BNR535371662. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.72,positivo,4.3,Pago tarjeta de crédito,Resuelta,12,5
CONV-0037,4,2024-10-16,01:14:00,Web,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.84,positivo,4.5,Pago tarjeta de crédito,Resuelta,12,5
CONV-0037,5,2024-10-16,01:12:00,Web,"No, gracias",¡Con gusto! Que tengas excelente día. Recuerda que puedes pagar también desde Banorte Móvil. ¡Hasta luego!,Pago tarjeta de crédito,0.78,positivo,3.9,Pago tarjeta de crédito,Resuelta,12,5
CONV-0038,1,2024-11-24,19:47:00,App Móvil,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.9,neutro,3.6,Consulta de estado de cuenta,Resuelta,8,5
CONV-0038,2,2024-11-24,19:49:00,App Móvil,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.97,neutro,3.5,Consulta de estado de cuenta,Resuelta,8,5
CONV-0038,3,2024-11-24,19:49:00,App Móvil,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es ana36@yahoo.com.mx?,Consulta de estado de cuenta,0.9,neutro,3.8,Consulta de estado de cuenta,Resuelta,8,5
CONV-0038,4,2024-11-24,19:56:00,App Móvil,"Sí, ese es mi correo",✅ Estado de cuenta enviado a jose60@yahoo.com.mx. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.74,neutro,3.9,Consulta de estado de cuenta,Resuelta,8,5
CONV-0038,5,2024-11-24,19:51:00,App Móvil,No gracias,¡Con mucho gusto! ¿Sabías que también puedes ver tu estado de cuenta en línea desde banorte.com? ¡Hasta luego!,Consulta de estado de cuenta,0.97,neutro,3.7,Consulta de estado de cuenta,Resuelta,8,5
CONV-0039,1,2024-12-02,05:07:00,Web,Qué promociones tienen para el Buen Fin,"¡Hola! 🎉 Tenemos excelentes promociones para el Buen Fin. ¿Te interesa conocer meses sin intereses, cashback o descuentos en tiendas específicas?",Información de promociones Buen Fin,0.82,positivo,4.6,Información de promociones Buen Fin,Resuelta,3,4
CONV-0039,2,2024-12-02,05:10:00,Web,Meses sin intereses,"¡Perfecto! Con tu tarjeta Banorte tienes hasta 18 MSI en tiendas participantes como Liverpool, Palacio de Hierro, Coppel y más de 500 establecimientos.",Información de promociones Buen Fin,0.86,positivo,4.9,Información de promociones Buen Fin,Resuelta,3,4
CONV-0039,3,2024-12-02,05:11:00,Web,¿Aplica en Amazon?,"Sí, Amazon participa con hasta 12 MSI en compras mayores a $500 MXN. ¿Te gustaría ver el catálogo completo de participantes?",Información de promociones Buen Fin,0.78,positivo,4.7,Información de promociones Buen Fin,Resuelta,3,4
CONV-0039,4,2024-12-02,05:10:00,Web,Sí por favor,Aquí tienes el enlace: banorte.com/buenfin2024 📱 También puedes activar notificaciones en la app para no perderte ninguna oferta. ¿Algo más?,Información de promociones Buen Fin,0.82,positivo,5.0,Información de promociones Buen Fin,Resuelta,3,4
CONV-0040,1,2024-10-06,22:49:00,Teléfono,Tengo un cargo que no reconozco,Lamento el inconveniente. ¿Me puedes decir el monto del cargo y la fecha aproximada?,Aclaración de cargo,0.72,negativo,3.3,Aclaración de cargo,Resuelta,5,5
CONV-0040,2,2024-10-06,22:50:00,Teléfono,"Es un cargo de $25,542 del 31/10/2024",Entiendo. Voy a revisar el detalle de ese movimiento. Un momento por favor...,Aclaración de cargo,0.8,negativo,2.6,Aclaración de cargo,Resuelta,5,5
CONV-0040,3,2024-10-06,22:55:00,Teléfono,Encontré el cargo en tu cuenta. Aparece como OXXO. ¿Recuerdas haber comprado ahí?,"No, definitivamente no reconozco ese cargo",Aclaración de cargo,0.76,negativo,2.8,Aclaración de cargo,Resuelta,5,5
CONV-0040,4,2024-10-06,22:55:00,Teléfono,Procederé a generar una aclaración formal. Folio: BNR289939734. El proceso tarda de 5 a 10 días hábiles.,¿Me harán un cargo temporal?,Aclaración de cargo,0.98,negativo,2.5,Aclaración de cargo,Resuelta,5,5
CONV-0040,5,2024-10-06,22:57:00,Teléfono,"No, no se realizará ningún cargo temporal durante la investigación. Te notificaremos por SMS el resultado.",Muchas gracias,Aclaración de cargo,0.89,negativo,3.3,Aclaración de cargo,Resuelta,5,5
CONV-0041,1,2024-12-19,22:34:00,App Móvil,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.87,neutro,3.3,Consulta de estado de cuenta,Resuelta,11,4
CONV-0041,2,2024-12-19,22:35:00,App Móvil,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.96,neutro,3.8,Consulta de estado de cuenta,Resuelta,11,4
CONV-0041,3,2024-12-19,22:36:00,App Móvil,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es sofia73@gmail.com?,Consulta de estado de cuenta,0.75,neutro,3.7,Consulta de estado de cuenta,Resuelta,11,4
CONV-0041,4,2024-12-19,22:40:00,App Móvil,"Sí, ese es mi correo",✅ Estado de cuenta enviado a carlos43@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.98,neutro,3.5,Consulta de estado de cuenta,Resuelta,11,4
CONV-0042,1,2024-12-28,19:50:00,Teléfono,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.86,positivo,3.9,Consulta de saldo,Resuelta,6,4
CONV-0042,2,2024-12-28,19:52:00,Teléfono,"Sí, mis últimos 4 dígitos son 5552","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.78,positivo,3.9,Consulta de saldo,Resuelta,6,4
CONV-0042,3,2024-12-28,19:56:00,Teléfono,Mi fecha de nacimiento es 20/12/1992,"Perfecto, verificando información... Tu saldo disponible es $62,706.54 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.94,positivo,3.8,Consulta de saldo,Resuelta,6,4
CONV-0042,4,2024-12-28,19:56:00,Teléfono,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.98,positivo,4.2,Consulta de saldo,Resuelta,6,4
CONV-0043,1,2024-11-29,21:09:00,WhatsApp,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.87,positivo,4.5,Pago tarjeta de crédito,Resuelta,11,4
CONV-0043,2,2024-11-29,21:12:00,WhatsApp,Quiero pagar el total,"El saldo total de tu tarjeta es $61,161.97 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.87,positivo,4.3,Pago tarjeta de crédito,Resuelta,11,4
CONV-0043,3,2024-11-29,21:13:00,WhatsApp,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $58,057.84 MXN. Folio: BNR629316212. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.91,positivo,3.9,Pago tarjeta de crédito,Resuelta,11,4
CONV-0043,4,2024-11-29,21:12:00,WhatsApp,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.92,positivo,4.3,Pago tarjeta de crédito,Resuelta,11,4
CONV-0044,1,2024-12-03,21:30:00,WhatsApp,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.82,positivo,5.0,Transferencia realizada,Resuelta,14,4
CONV-0044,2,2024-12-03,21:33:00,WhatsApp,"Quiero transferir $37,399 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.93,positivo,4.9,Transferencia realizada,Resuelta,14,4
CONV-0044,3,2024-12-03,21:32:00,WhatsApp,La CLABE es 401078356743000389,"Gracias. Confirma: transferencia de $36,114 MXN a CLABE 719553560331903689. ¿Es correcto?",Transferencia realizada,0.75,positivo,4.3,Transferencia realizada,Resuelta,14,4
CONV-0044,4,2024-12-03,21:33:00,WhatsApp,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR398465149. ¿Algo más?,Transferencia realizada,0.95,positivo,4.3,Transferencia realizada,Resuelta,14,4
CONV-0045,1,2024-11-18,12:28:00,App Móvil,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.85,positivo,4.2,Pago tarjeta de crédito,Resuelta,5,4
CONV-0045,2,2024-11-18,12:30:00,App Móvil,Quiero pagar el total,"El saldo total de tu tarjeta es $71,336.91 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.88,positivo,4.3,Pago tarjeta de crédito,Resuelta,5,4
CONV-0045,3,2024-11-18,12:32:00,App Móvil,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $105,122.06 MXN. Folio: BNR844181609. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.74,positivo,4.1,Pago tarjeta de crédito,Resuelta,5,4
CONV-0045,4,2024-11-18,12:37:00,App Móvil,¿Cuándo se ve reflejado?,El pago se refleja en un plazo de 24 a 48 horas hábiles. ¿Hay algo más en lo que pueda ayudarte?,Pago tarjeta de crédito,0.99,positivo,4.3,Pago tarjeta de crédito,Resuelta,5,4
CONV-0046,1,2024-11-27,13:40:00,Teléfono,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.75,positivo,4.0,Consulta de saldo,Resuelta,13,4
CONV-0046,2,2024-11-27,13:41:00,Teléfono,"Sí, mis últimos 4 dígitos son 3310","Gracias. Para confirmar tu identidad, ¿me puedes decir tu fecha de nacimiento?",Consulta de saldo,0.76,positivo,4.4,Consulta de saldo,Resuelta,13,4
CONV-0046,3,2024-11-27,13:44:00,Teléfono,Mi fecha de nacimiento es 22/04/1978,"Perfecto, verificando información... Tu saldo disponible es $24,101.38 MXN. ¿Hay algo más en lo que pueda ayudarte?",Consulta de saldo,0.91,positivo,4.6,Consulta de saldo,Resuelta,13,4
CONV-0046,4,2024-11-27,13:49:00,Teléfono,"No, muchas gracias",¡Con mucho gusto! Recuerda que puedes consultar tu saldo también desde la app Banorte Móvil. ¡Hasta luego!,Consulta de saldo,0.91,positivo,3.8,Consulta de saldo,Resuelta,13,4
CONV-0047,1,2024-11-17,10:26:00,Web,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.86,positivo,4.2,Transferencia realizada,Resuelta,10,4
CONV-0047,2,2024-11-17,10:28:00,Web,"Quiero transferir $35,920 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.86,positivo,4.0,Transferencia realizada,Resuelta,10,4
CONV-0047,3,2024-11-17,10:32:00,Web,La CLABE es 281237106728728660,"Gracias. Confirma: transferencia de $37,049 MXN a CLABE 248395894773522870. ¿Es correcto?",Transferencia realizada,0.99,positivo,5.0,Transferencia realizada,Resuelta,10,4
CONV-0047,4,2024-11-17,10:29:00,Web,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR332404394. ¿Algo más?,Transferencia realizada,0.85,positivo,4.3,Transferencia realizada,Resuelta,10,4
CONV-0048,1,2024-10-07,04:32:00,Teléfono,"Hola, quiero saber mi saldo",¡Hola! Con gusto te ayudo. ¿Me puedes proporcionar tu número de cliente o los últimos 4 dígitos de tu tarjeta?,Consulta de saldo,0.79,positivo,4.2,Consulta de saldo,Resuelta,8,4
